# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Ahmedabad, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
8742cc680ffffff,23.11702,72.64707,0,131.9
8742cc680ffffff,23.11702,72.64707,1,98.8
8742cc680ffffff,23.11702,72.64707,2,100.3
8742cc680ffffff,23.11702,72.64707,3,86.2
8742cc680ffffff,23.11702,72.64707,4,77.4
8742cc680ffffff,23.11702,72.64707,5,66.6
8742cc680ffffff,23.11702,72.64707,6,67.9
8742cc680ffffff,23.11702,72.64707,7,67.7
8742cc680ffffff,23.11702,72.64707,8,76.5
8742cc680ffffff,23.11702,72.64707,9,112.6
8742cc680ffffff,23.11702,72.64707,10,125.0
8742cc680ffffff,23.11702,72.64707,11,108.6
8742cc680ffffff,23.11702,72.64707,12,113.6
8742cc680ffffff,23.11702,72.64707,13,93.7
8742cc680ffffff,23.11702,72.64707,14,81.2
8742cc680ffffff,23.11702,72.64707,15,84.8
8742cc680ffffff,23.11702,72.64707,16,78.9
8742cc680ffffff,23.11702,72.64707,17,73.3
8742cc680ffffff,23.11702,72.64707,18,69.5
8742cc680ffffff,23.11702,72.64707,19,66.0
8742cc680ffffff,23.11702,72.64707,20,77.6
8742cc680ffffff,23.11702,72.64707,21,109.3
8742cc680ffffff,23.11702,72.64707,22,121.6
8742cc680ffffff,23.11702,72.64707,23,114.8
8742cc680ffffff,23.11702,72.64707,24,109.5
8742cc680ffffff,23.11702,72.64707,25,85.1
8742cc680ffffff,23.11702,72.64707,26,83.1
8742cc680ffffff,23.11702,72.64707,27,78.7
8742cc680ffffff,23.11702,72.64707,28,91.1
8742cc680ffffff,23.11702,72.64707,29,76.1
8742cc680ffffff,23.11702,72.64707,30,76.6
8742cc680ffffff,23.11702,72.64707,31,74.4
8742cc680ffffff,23.11702,72.64707,32,77.1
8742cc680ffffff,23.11702,72.64707,33,102.1
8742cc680ffffff,23.11702,72.64707,34,128.2
8742cc680ffffff,23.11702,72.64707,35,99.7
8742cc680ffffff,23.11702,72.64707,36,116.0
8742cc680ffffff,23.11702,72.64707,37,120.9
8742cc680ffffff,23.11702,72.64707,38,82.6
8742cc680ffffff,23.11702,72.64707,39,81.7
