# Real soil chemistry + texture from ISRIC SoilGrids v2.0 (250 m, no key).
# Ahmedabad. zone = H3 res-7 cell id.
# Native SoilGrids scaling: phh2o = pH*10, sand/silt/clay = g/kg,
# soc = dg/kg, nitrogen = cg/kg. soil.py auto-unscales by magnitude.
zone,lat,lon,phh2o,sand,silt,clay,soc,nitrogen
8742cea56ffffff,22.91521,72.58993,74.0,299.0,370.5,330.5,109.0,136.0
8742cea58ffffff,22.93142,72.67471,74.0,301.5,357.0,341.5,106.5,143.0
8742cea59ffffff,22.94056,72.6963,74.0,308.5,341.0,351.0,115.0,149.5
8742cea5affffff,22.91106,72.67315,74.0,313.0,345.5,342.0,91.5,128.5
8742cea5bffffff,22.9202,72.69473,74.0,307.5,345.5,347.0,92.0,134.0
8742cea5cffffff,22.94264,72.65468,72.5,332.5,305.5,362.0,110.0,151.5
8742cea5dffffff,22.95179,72.67627,73.0,318.5,341.0,341.0,100.0,149.0
8742cea5effffff,22.92228,72.65312,73.0,316.0,331.0,353.0,102.5,138.0
8742cea68ffffff,23.02416,72.66091,73.0,325.5,351.0,323.0,99.5,151.0
8742cea69ffffff,23.03331,72.68253,74.0,312.5,345.0,342.5,123.0,150.0
8742cea6affffff,23.00377,72.65935,72.5,303.5,347.5,348.5,102.5,157.0
8742cea6bffffff,23.01292,72.68096,73.0,293.5,368.0,338.5,115.0,159.5
8742cea6dffffff,23.04455,72.66247,73.5,312.5,350.5,337.0,116.0,154.5
8742cea70ffffff,22.96715,72.57295,72.0,304.5,370.0,326.0,112.5,165.5
8742cea72ffffff,22.94678,72.57142,73.0,299.0,374.5,326.5,111.0,157.0
8742cea73ffffff,22.95593,72.593,73.0,303.5,371.5,324.5,117.5,156.5
8742cea74ffffff,22.97836,72.55289,75.0,297.5,380.0,322.5,116.0,145.5
8742cea75ffffff,22.98753,72.57448,73.0,304.0,367.0,328.5,111.0,157.5
8742cea76ffffff,22.95799,72.55137,74.0,298.0,382.5,319.0,108.0,156.0
8742ceaedffffff,22.90193,72.65157,73.0,307.0,353.5,339.5,108.5,132.0
8742ceb40ffffff,23.0528,72.49569,74.0,319.5,379.0,301.5,105.5,143.5
8742ceb41ffffff,23.06198,72.5173,75.0,316.0,381.0,303.5,101.5,150.0
8742ceb42ffffff,23.0324,72.49418,73.0,328.5,335.5,336.0,93.5,139.5
8742ceb44ffffff,23.06402,72.47559,75.0,311.5,387.5,300.5,102.5,148.5
8742ceb45ffffff,23.0732,72.4972,75.0,316.5,373.5,310.0,104.0,147.5
8742ceb46ffffff,23.04362,72.47409,73.0,327.5,365.0,308.0,97.0,144.0
8742ceb49ffffff,23.0691,72.58062,74.0,297.5,369.5,333.0,117.0,143.0
8742ceb4affffff,23.03953,72.55747,73.0,300.0,371.0,329.0,113.5,146.0
8742ceb4cffffff,23.07115,72.53891,74.0,322.5,363.5,313.5,96.0,140.0
8742ceb50ffffff,23.00283,72.47108,73.0,322.5,356.0,321.5,98.5,144.0
