# Real soil chemistry + texture from ISRIC SoilGrids v2.0 (250 m, no key).
# Delhi. zone = H3 res-7 cell id.
# Native SoilGrids scaling: phh2o = pH*10, sand/silt/clay = g/kg,
# soc = dg/kg, nitrogen = cg/kg. soil.py auto-unscales by magnitude.
zone,lat,lon,phh2o,sand,silt,clay,soc,nitrogen
873da1123ffffff,28.59563,77.03633,77.0,476.0,302.0,222.0,69.5,89.5
873da1125ffffff,28.63015,77.01858,81.0,446.0,343.0,211.0,64.5,90.5
873da112bffffff,28.6009,77.10513,77.5,521.0,306.5,172.5,65.0,91.5
873da1131ffffff,28.56485,77.00925,79.0,418.5,349.0,232.5,68.0,88.0
873da1133ffffff,28.54309,77.00615,80.5,427.0,355.5,217.5,74.0,84.5
873da1146ffffff,28.61512,77.19791,73.5,522.0,292.0,186.0,86.5,93.0
873da114cffffff,28.64206,77.26991,75.5,498.5,308.5,193.0,97.0,111.0
873da114effffff,28.6203,77.26672,76.0,476.5,349.0,174.5,95.0,89.0
873da1152ffffff,28.54985,77.18842,74.5,551.5,294.5,154.5,84.5,89.5
873da1154ffffff,28.58437,77.17077,77.0,532.0,312.0,155.5,90.0,89.0
873da1156ffffff,28.56261,77.16761,75.5,499.0,289.5,211.5,93.0,88.0
873da1158ffffff,28.57679,77.26034,75.5,487.0,315.5,197.5,94.0,93.0
873da1159ffffff,28.58576,77.28433,76.0,477.0,329.0,193.5,98.0,91.5
873da115affffff,28.55504,77.25716,76.0,509.5,311.5,178.0,99.5,91.0
873da115bffffff,28.56401,77.28114,76.0,462.0,345.5,192.0,90.5,94.0
873da115dffffff,28.59854,77.26353,78.0,468.5,329.0,201.5,100.5,93.0
873da1168ffffff,28.67663,77.25228,76.5,513.0,311.5,175.5,80.0,101.5
873da116affffff,28.65485,77.24909,76.0,520.0,306.5,173.0,94.5,89.0
873da116cffffff,28.68942,77.23145,75.5,503.5,298.5,198.0,87.0,96.5
873da116dffffff,28.6984,77.25547,75.0,497.0,306.0,196.5,86.5,87.0
873da116effffff,28.66764,77.22827,76.5,540.0,289.5,171.5,92.5,94.5
873da1170ffffff,28.6189,77.1531,77.5,532.5,283.0,184.0,85.5,89.5
873da1171ffffff,28.62789,77.17709,75.5,488.5,316.5,195.5,102.0,94.5
873da1172ffffff,28.59713,77.14994,76.5,544.0,298.5,157.5,77.0,92.0
873da1173ffffff,28.60613,77.17393,74.5,545.5,295.5,159.0,96.5,90.5
873da1175ffffff,28.64067,77.15625,77.5,508.0,325.5,166.5,69.5,109.5
873da1176ffffff,28.6099,77.12911,77.5,485.0,316.5,199.0,68.0,104.0
873da11a8ffffff,28.4614,77.06241,79.0,468.5,317.0,214.0,70.5,83.5
873da11a9ffffff,28.4704,77.08634,79.0,474.5,317.5,208.0,72.5,88.5
873da11acffffff,28.47413,77.0416,79.5,457.0,329.5,213.5,63.0,89.0
873da11aeffffff,28.4524,77.03849,79.5,467.0,311.0,221.5,81.5,84.5
873da180bffffff,28.79548,77.01949,81.5,410.0,348.0,242.5,81.5,100.0
873da1852ffffff,28.79173,77.06445,82.5,421.0,372.0,207.0,86.5,99.5
873da185affffff,28.79698,77.13345,80.0,444.5,294.5,261.5,65.5,102.0
873da1889ffffff,28.66469,77.00081,83.5,422.5,357.0,220.5,73.0,86.0
873da18c0ffffff,28.71354,77.07595,77.5,499.0,279.5,221.5,71.0,92.0
873da18c1ffffff,28.72256,77.09997,77.5,487.5,284.0,228.5,76.0,99.5
873da18c4ffffff,28.72632,77.05506,80.5,428.5,362.0,210.0,76.5,88.0
873da18c5ffffff,28.73534,77.07908,79.0,494.0,274.5,231.5,76.0,88.0
873da18c6ffffff,28.70452,77.05193,79.0,468.0,290.0,241.5,72.0,93.0
873da18ceffffff,28.70978,77.12084,78.0,506.0,278.5,215.5,78.0,107.0
873da18d0ffffff,28.66095,77.04569,80.0,463.5,335.0,202.0,80.5,96.5
873da18d2ffffff,28.63917,77.04256,75.0,522.0,316.5,161.5,96.5,106.5
873da18d3ffffff,28.64819,77.06655,78.5,495.0,292.5,212.0,72.5,84.5
873da18d4ffffff,28.67371,77.02481,83.0,454.0,342.0,203.0,76.0,89.0
873da18d6ffffff,28.65193,77.02169,80.0,438.0,347.5,214.0,93.0,93.0
873da18ddffffff,28.68799,77.1177,78.5,498.5,292.5,209.0,84.0,85.5
873da18deffffff,28.6572,77.09055,78.0,517.5,309.0,173.0,73.5,86.0
873da18e0ffffff,28.76089,77.03729,79.5,413.0,347.5,239.5,78.5,90.5
873da18e1ffffff,28.76992,77.06132,81.0,400.5,357.5,241.5,77.5,91.5
873da18e2ffffff,28.73909,77.03416,80.5,413.0,359.0,228.0,96.5,110.5
873da18e3ffffff,28.74812,77.05819,79.5,426.5,345.5,228.0,72.5,94.0
873da18e4ffffff,28.77367,77.01637,80.5,407.0,368.5,224.5,74.5,89.5
873da18e5ffffff,28.7827,77.04041,85.0,407.0,349.0,244.5,66.5,107.0
873da18e6ffffff,28.75186,77.01326,80.5,394.5,357.0,248.5,70.5,92.5
873da18e8ffffff,28.76616,77.10625,83.5,432.5,338.0,229.0,79.0,98.0
873da18e9ffffff,28.77517,77.1303,81.0,439.0,336.0,224.5,69.5,90.0
873da18eaffffff,28.74436,77.10311,82.5,447.5,316.0,236.0,85.5,102.5
873da18ebffffff,28.75337,77.12714,78.5,464.5,350.5,185.0,81.0,86.0
873da18ecffffff,28.77894,77.08536,84.5,394.0,353.5,252.5,68.5,101.5
873da18edffffff,28.78796,77.1094,84.5,404.5,357.5,238.5,80.5,117.0
873da18eeffffff,28.75714,77.08222,80.0,436.0,334.5,229.0,82.0,97.5
873da18f0ffffff,28.70826,77.00703,80.0,406.0,359.0,235.0,81.5,103.0
873da18f1ffffff,28.71729,77.03104,79.0,455.5,316.0,228.5,71.5,88.0
873da18f2ffffff,28.68647,77.00392,79.5,449.0,353.5,197.0,67.0,86.5
873da18f3ffffff,28.6955,77.02792,78.5,454.0,332.5,213.5,69.5,90.0
873da18f5ffffff,28.73006,77.01014,80.0,430.5,355.0,214.5,72.5,92.5
873da1aa2ffffff,28.71252,77.3484,81.0,462.5,311.0,227.0,87.5,96.5
873da1aa4ffffff,28.74712,77.33079,82.0,420.0,352.0,228.0,74.5,96.5
873da1aa6ffffff,28.72534,77.32757,76.5,489.0,307.0,204.5,87.5,95.0
873da1b80ffffff,28.77657,77.24419,81.5,454.0,334.5,211.5,74.0,90.0
873da1b81ffffff,28.78556,77.26825,81.5,411.0,334.5,254.5,87.0,99.0
873da1b82ffffff,28.75478,77.241,81.0,489.5,325.5,185.0,81.5,87.5
873da1b83ffffff,28.76377,77.26505,81.0,483.5,288.0,228.0,73.5,89.5
873da1b84ffffff,28.78938,77.22333,84.5,418.5,341.5,240.0,83.0,102.5
873da1b85ffffff,28.79838,77.24739,84.5,408.0,341.5,250.5,89.0,121.0
873da1b86ffffff,28.76758,77.22014,82.5,476.0,337.5,185.5,86.0,90.5
873da1b88ffffff,28.78173,77.31316,81.0,453.0,327.5,219.0,76.0,90.5
873da1b89ffffff,28.79071,77.33723,81.0,433.5,338.0,228.5,69.0,96.0
873da1b8affffff,28.75994,77.30995,80.5,446.0,329.5,224.5,84.5,112.5
